I,Q,I_dpd,Q_dpd
-0.279268748,0.264490998,-0.22412917,0.214135
-0.124739207,0.17860781,-0.089252464,0.15776442
0.065570198,0.038579341,0.066540696,0.06577368
0.206962443,-0.086605644,0.1833886,-0.04383
0.233907475,-0.142788935,0.1969243,-0.09877373
0.13155406,-0.118726357,0.10612935,-0.09539576
-0.055865906,-0.050839055,-0.04676485,-0.06731481
-0.244327877,-0.00203769,-0.19635451,-0.02973491
-0.348236768,-0.025623303,-0.27547634,-0.032863528
-0.319555848,-0.133319928,-0.24188396,-0.09995916
-0.169294377,-0.284744271,-0.116920955,-0.19843629
0.038645183,-0.404811807,0.042049333,-0.28697634
0.217843753,-0.421141025,0.17166592,-0.3040604
0.298926125,-0.302822982,0.21626428,-0.22123416
0.259194111,-0.080537596,0.17141539,-0.062051535
0.12864576,0.163188871,0.06451543,0.10595104
-0.02923574,0.330067795,-0.04951916,0.23341672
-0.151001807,0.35165926,-0.12613621,0.25499505
-0.203477621,0.222519511,-0.14517835,0.16026379
-0.195596609,0.004518105,-0.1222802,0.0024919137
-0.166847981,-0.200307966,-0.09552709,-0.14737925
-0.159794046,-0.295870049,-0.09831243,-0.22818524
-0.192358845,-0.23550042,-0.14858988,-0.18750069
-0.245402283,-0.042470619,-0.21221295,-0.041144356
-0.272665387,0.201742267,-0.24436921,0.15394865
-0.227988045,0.395437512,-0.20717075,0.3207118
-0.095181447,0.462736491,-0.08835166,0.38853306
0.095908425,0.386202654,0.079627335,0.3365062
0.276780216,0.211465982,0.23753679,0.19478069
0.368734298,0.022841913,0.31868267,0.03025347
0.319054351,-0.097508583,0.27477473,-0.07861002
0.127238072,-0.107185849,0.11073105,-0.10167294
-0.151828781,-0.020616705,-0.121663354,-0.051014557
-0.42971504,0.101346717,-0.35174084,0.047870487
-0.621169511,0.183077477,-0.50676423,0.13293749
-0.678589413,0.171254994,-0.5484725,0.14823665
-0.60855508,0.059816387,-0.47748303,0.07125655
-0.463758086,-0.108258748,-0.34591153,-0.058808826
-0.315532928,-0.26206454,-0.22434962,-0.17632586
-0.221022622,-0.335962282,-0.15625808,-0.23743275
-0.200574731,-0.299066778,-0.15457717,-0.21847707
-0.234879317,-0.167836888,-0.19794336,-0.12759602
-0.28106483,0.002933225,-0.24227002,0.001351662
-0.297831069,0.145335203,-0.25398126,0.11788815
-0.266205721,0.207441546,-0.21899483,0.17356338
-0.196028084,0.1731012,-0.14991808,0.1504006
-0.116503476,0.064498882,-0.07698255,0.06723997
-0.057568766,-0.071992648,-0.025168657,-0.040552482
-0.033004811,-0.18858071,-0.0029184967,-0.13900644
-0.034329652,-0.256141792,-0.013227001,-0.19752407
-0.037930356,-0.272654046,-0.028382279,-0.20649324
-0.020454652,-0.257382348,-0.02080258,-0.19214572
0.026760057,-0.235385321,0.012559578,-0.17126939
0.092374213,-0.221368139,0.06286937,-0.15817444
0.15148605,-0.21162795,0.10950172,-0.15183422
0.179736557,-0.188156232,0.13039477,-0.13852355
0.166828812,-0.132323249,0.11719546,-0.10206886
0.121820248,-0.04033036,0.07951631,-0.036896594
0.067428612,0.068580896,0.038212746,0.038800478
0.02689463,0.156670423,0.005618971,0.10905738
0.011098319,0.18395567,-0.00044027716,0.13773328
0.013338849,0.128773123,0.011326481,0.096331835
0.01468998,0.002271697,0.031149797,0.008373596
-0.003280092,-0.151407679,0.028453011,-0.11585875
-0.045910434,-0.271049511,-0.016525105,-0.21577662
-0.100463423,-0.304306559,-0.06869993,-0.24313316
-0.141964809,-0.232146989,-0.115295075,-0.1860764
-0.146888858,-0.080079713,-0.13469139,-0.06864696
-0.107083469,0.090094468,-0.11008433,0.07134421
-0.03589483,0.205424976,-0.050898097,0.16333203
0.037467499,0.213164687,0.018842194,0.17863204
0.0828629,0.104237991,0.07096558,0.096373364
0.085728112,-0.082129923,0.09205434,-0.059331436
0.056259355,-0.275115902,0.071441785,-0.21519074
0.025988615,-0.402934618,0.035721965,-0.3191402
0.03302055,-0.423415096,0.027497165,-0.33195087
0.103180151,-0.340505011,0.06619619,-0.25791848
0.236534654,-0.199380382,0.16036311,-0.14119622
0.406004886,-0.063073876,0.29779863,-0.035301857
0.568546469,0.017669581,0.4320802,0.02250363
0.683003956,0.026595303,0.53927493,0.022706836
0.725617844,-0.014225123,0.58834034,-0.019609615
0.695899728,-0.059917825,0.5684171,-0.06504036
0.611128386,-0.068893113,0.49380165,-0.07829356
0.493933604,-0.02554064,0.38938087,-0.046797924
